,cleaned_event,cleaned_venue,cleaned_place,cleaned_date
11609,,,,1961-08-23
11610,,,,1961-08-29
11611,,,,1961-08-08
11612,,,,1961-08-06
11613,,,,1961-07-12
11614,,,,1961-07-02
11615,,,,1961-07-02
11616,,,,1961-07-03
11617,,,,1961-07-04
11618,,,,1961-07-05
11619,,,,1961-07-08
11620,,,,1961-07-08
11621,,,,1961-07-12
11622,,,,1961-07-12
11623,,,,1961-07-13
11624,,,,1961-11-02
11625,,,,1961-01-01
11626,,,,1961-12-26
11627,,,,1961-11-17
11628,,,,1961-01-01
11629,,,,1961-12-12
11630,,,,1950-01-01
11631,,,,1950-01-01
11632,,,,1950-01-02
11633,,,,1950-01-02
11634,,,,1950-01-04
11635,,,,1950-01-04
11636,,,,1950-01-05
11637,,,,1950-01-05
11638,,,,1950-01-25
11639,,,,1950-12-09
11640,,,,1950-12-25
11641,,,,1950-12-26
11642,,,,1951-12-31
11643,,,,1950-12-13
11644,,,,1950-10-18
11645,,,,1950-02-07
11646,,,,1950-07-22
11647,,,,1950-04-07
11648,,,,1950-03-07
11649,,,,1950-04-21
11650,,,,1950-02-24
11651,,,,1950-02-19
11652,,,,1950-05-24
11653,,,,1950-07-06
11654,,,,1950-12-06
11655,,,,1950-04-19
11656,,,,1950-03-22
11657,,,,1950-01-23
11658,,,,1950-01-21
11659,,,,1950-01-01
11660,,,,1951-02-02
11661,,,,1951-03-21
11662,,,,1951-05-13
11663,,,,1951-07-17
11664,,,,1951-12-25
11665,,,,1951-06-07
11666,,,,1951-08-01
11667,,,,1951-08-31
11668,,,,1951-08-01
11669,,,,1951-09-17
11670,,,,1951-01-01
11671,,,,1957-10-11
11672,,,,1951-11-19
11673,,,,1951-12-05
11674,,,,1951-12-31
11675,,,,1951-12-28
11676,,,,1951-10-22
11677,,,,1951-05-24
11678,,,,1951-05-24
11679,,,,1951-09-20
11680,,,,1952-12-16
11681,,,,
11682,,,,1952-02-01
11683,,,,1952-05-26
11684,,,,1952-06-05
11685,,,,1952-01-01
11686,,,,1952-01-01
11687,,,,1952-12-29
11688,,,,1952-12-29
11689,,,,1952-07-12
11690,,,,1952-09-23
11691,,,,1952-01-01
11692,,,,1952-01-01
11693,,,,1952-08-13
11694,,,,1952-12-24
11695,,,,1952-12-26
11696,,,,1952-12-30
11697,,,,1952-06-19
11698,,,,1952-07-12
11699,,,,1952-08-13
11700,,,,1994-03-11
11701,,,,1994-03-12
11702,,,,1994-03-13
11703,,,,1989-03-04
11704,,,,1989-01-01
11705,,,,1993-11-01
11706,,,,1999-01-01
11707,,,,1954-04-07
11708,,,,1954-09-05
11709,,,,1995-01-30
11710,,,,1995-11-02
11711,,,,1999-01-01
11712,,,,1954-02-05
11713,,,,1994-03-12
11714,,,,1954-08-08
11715,,,,1954-01-28
11716,,,,1954-01-01
11717,,,,1989-12-19
11718,,,,1954-12-28
11719,,,,1954-06-10
11720,,,,1990-01-01
11721,,,,1954-03-02
11722,,,,1998-01-31
11723,,,,1997-02-22
11724,,,,1988-12-01
11725,,,,1989-01-01
11726,,,,1954-03-03
11727,,,,2001-07-27
11728,,,,1990-05-29
11729,,,,1997-01-01
11730,,,,2001-07-24
11731,,,,2002-07-30
11732,,,,1954-04-14
11733,,,,1998-09-23
11734,,,,1989-03-01
11735,,,,1954-07-23
11736,,,,1954-01-01
11737,,,,1954-07-30
11738,,,,1989-01-01
11739,,,,1989-04-18
11740,,,,2001-08-08
11741,,,,1988-05-05
11742,,,,1998-01-26
11743,,,,1995-04-29
11744,,,,1954-07-04
11745,,,,1988-08-01
11746,,,,1995-07-04
11747,,,,1954-01-31
11748,,,,1989-01-01
11749,,,,1954-06-25
11750,,,,1954-12-09
11751,,,,1954-10-30
11752,,,,1995-07-01
11753,,,,1954-06-22
11754,,,,1954-01-26
11755,,,,1989-06-29
11756,,,,1954-10-31
11757,,,,1989-01-01
11758,,,,1993-01-24
11759,,,,2001-08-07
11760,,,,1954-12-24
11761,,,,1954-07-17
11762,,,,1954-02-09
11763,,,,2003-01-01
11764,,,,1988-01-01
11765,,,,1995-02-23
11766,,,,1989-06-06
11767,,,,1954-03-24
11768,,,,1996-02-23
11769,,,,1989-03-12
11770,,,,1954-10-28
11771,,,,1989-03-01
11772,,,,1992-04-01
11773,,,,1998-05-24
11774,,,,1998-07-06
11775,,,,1996-11-17
11776,,,,1954-03-11
11777,,,,1989-09-01
11778,,,,1954-09-05
11779,,,,1954-11-01
11780,,,,2001-07-26
11781,,,,1999-01-01
11782,,,,1954-09-08
11783,,,,1954-12-31
11784,,,,1954-07-03
11785,,,,1954-02-28
11786,,,,1990-06-05
11787,,,,1954-12-24
11788,,,,1954-06-05
11789,,,,1954-10-21
11790,,,,1954-03-20
11791,,,,1994-11-06
11792,,,,2001-07-30
11793,,,,1954-06-18
11794,,,,1954-01-01
11795,,,,1998-02-21
11796,,,,
11797,,,,1954-05-10
11798,,,,1999-03-06
11799,,,,1954-02-07
11800,,,,1999-03-19
11801,,,,1989-01-28
11802,,,,1990-06-08
11803,,,,1988-01-01
11804,,,,1998-01-22
11805,,,,1997-12-01
11806,,,,2001-08-04
11807,,,,2001-07-28
11808,,,,1954-10-16
11809,,,,1989-03-01
11810,,,,1990-06-01
11811,,,,1988-03-01
11812,,,,2001-08-06
11813,,,,1989-03-01
11814,,,,1995-06-30
11815,,,,1954-12-31
11816,,,,1997-01-01
11817,,,,1954-09-15
11818,,,,2001-07-31
11819,,,,1995-01-01
11820,,,,1954-02-15
11821,,,,1988-01-01
11822,,,,1988-01-01
11823,,,,1995-07-01
11824,,,,1990-06-07
11825,,,,2001-08-05
11826,,,,1998-12-01
11827,,,,1954-08-15
11828,,,,1954-01-01
11829,,,,2003-11-03
11830,,,,1954-06-24
11831,,,,1989-04-28
11832,,,,1995-07-21
11833,,,,1954-04-13
11834,,,,1954-10-21
11835,,,,1993-11-27
11836,,,,1954-01-06
11837,,,,1954-08-01
11838,,,,1954-08-20
11839,,,,1954-11-12
11840,,,,2001-08-03
11841,,,,1990-06-03
11842,,,,1990-11-08
11843,,,,1954-09-08
11844,,,,1954-04-21
11845,,,,1954-08-21
11846,,,,1954-01-01
11847,,,,1954-01-01
11848,,,,1954-01-24
11849,,,,1954-01-01
11850,,,,2001-08-02
11851,,,,2001-08-01
11852,,,,1954-10-07
11853,,,,1995-05-18
11854,,,,1954-08-27
11855,,,,1954-03-04
11856,,,,1990-01-01
11857,,,,1954-02-28
11858,,,,1954-08-06
11859,,,,1988-05-01
11860,,,,1989-05-23
11861,,,,1995-06-26
11862,,,,1995-06-29
11863,,,,1954-01-24
11864,,,,1998-01-01
11865,,,,2000-12-12
11866,Dinner,,,1989-04-01
11867,,,,1995-10-21
11868,,,,1954-12-25
11869,,,,1990-06-04
11870,,,,1990-05-30
11871,,,,1990-06-04
11872,,,,1954-01-01
11873,,,,1995-07-03
11874,,,,1954-04-01
11875,,,,1995-04-22
11876,,,,1988-01-01
11877,,,,1954-07-25
11878,,,,1990-06-06
11879,,,,1954-09-11
11880,,,,1954-02-24
11881,,,,1953-07-11
11882,,,,1953-07-24
11883,,,,1953-07-25
11884,,,,1953-07-24
11885,,,,1953-08-01
11886,,,,1953-08-04
11887,,,,1953-08-05
11888,,,,1953-08-01
11889,,,,1953-08-06
11890,,,,1953-08-07
11891,,,,1953-08-09
11892,,,,1953-08-09
11893,,,,1953-08-09
11894,,,,1953-08-12
11895,,,,1953-08-10
11896,,,,1953-08-09
11897,,,,1953-08-09
11898,,,,1953-08-13
11899,,,,1953-08-22
11900,,,,1953-08-23
11901,,,,1953-08-23
11902,,,,1953-08-26
11903,,,,1953-08-25
11904,,,,1953-08-31
11905,,,,1953-09-14
11906,,,,1953-09-29
11907,,,,1953-10-03
11908,,,,1953-10-08
11909,,,,1953-01-01
11910,,,,1953-09-01
11911,,,,1953-10-09
11912,,,,1953-10-14
11913,,,,1953-10-14
11914,,,,1953-01-01
11915,,,,1953-01-01
11916,,,,1953-01-01
11917,,,,1953-03-26
11918,,,,1953-04-08
11919,,,,1953-05-05
11920,,,,1953-05-09
11921,,,,1953-06-17
11922,,,,1953-07-10
11923,,,,1955-10-14
11924,,,,1953-10-16
11925,,,,1953-11-12
11926,,,,1953-11-20
11927,,,,1953-11-25
11928,,,,1953-11-24
11929,,,,1953-11-25
11930,,,,1953-11-26
11931,,,,1953-11-26
11932,,,,1953-11-28
11933,,,,1953-12-02
11934,,,,1953-12-29
11935,,,,1953-12-03
11936,,,,1953-12-26
11937,,,,1953-12-27
11938,,,,1953-12-27
11939,,,,1953-12-27
11940,,,,1953-12-28
11941,,,,1953-12-28
11942,,,,1953-12-28
11943,,,,1953-12-28
11944,,,,1953-12-29
11945,,,,1953-12-30
11946,,,,1953-12-30
11947,,,,1953-12-30
11948,,,,1953-12-30
11949,,,,1953-12-31
11950,,,,1953-12-31
11951,,,,1953-12-31
11952,,,,1953-12-28
11953,,,,1953-12-29
11954,,,,1953-12-30
11955,,,,1953-12-31
11956,,,,1955-05-27
11957,,,,1955-05-28
11958,,,,1955-05-28
11959,,,,1955-05-29
11960,,,,1955-05-29
11961,,,,1955-05-30
11962,,,,1955-05-31
11963,,,,1955-05-31
11964,,,,1955-05-30
11965,,,,1955-01-01
11966,,,,1955-06-26
11967,,,,1955-06-29
11968,,,,1955-06-02
11969,,,,1955-06-25
11970,,,,1955-01-01
11971,,,,1955-06-14
11972,,,,1955-06-11
11973,,,,1955-06-12
11974,,,,1955-06-12
11975,,,,1955-06-13
11976,,,,1955-06-13
11977,,,,1955-06-14
11978,,,,1955-06-14
11979,,,,1955-06-16
11980,,,,1955-07-21
11981,,,,1955-07-26
11982,,,,1955-07-26
11983,,,,1955-07-28
11984,,,,1955-07-28
11985,,,,1955-07-30
11986,,,,1955-06-15
11987,,,,1955-07-30
11988,,,,1955-07-26
11989,,,,1955-07-21
11990,,,,1955-06-03
11991,,,,1955-06-08
11992,,,,1955-06-07
11993,,,,1955-06-02
11994,,,,1955-06-08
11995,,,,1955-06-13
11996,,,,1955-06-06
11997,,,,1955-06-20
11998,,,,1955-06-16
11999,,,,1955-07-07
12000,,,,1955-07-22
12001,,,,1955-07-18
12002,,,,1955-06-17
12003,,,,1955-06-27
12004,,,,1955-06-20
12005,,,,1955-06-28
12006,,,,1955-07-10
12007,,,,1955-07-13
12008,,,,1955-07-13
12009,,,,1955-07-14
12010,,,,1955-07-14
12011,,,,1955-07-14
12012,,,,1955-07-17
12013,,,,1955-09-07
12014,,,,1955-07-20
12015,,,,1955-07-27
12016,,,,1955-07-20
12017,,,,1955-07-20
12018,,,,1955-07-30
12019,,,,1955-08-01
12020,,,,1955-08-05
12021,,,,1955-08-17
12022,,,,1955-08-20
12023,,,,1955-08-24
12024,,,,1955-08-23
12025,,,,1955-08-23
12026,,,,1955-08-24
12027,,,,1955-08-25
12028,,,,1955-08-28
12029,,,,1955-08-29
12030,,,,1955-09-01
12031,,,,1955-09-02
12032,,,,1955-09-03
12033,,,,1955-09-03
12034,,,,1955-09-09
12035,,,,1955-09-06
12036,,,,1955-01-01
12037,,,,1955-09-14
12038,,,,1955-09-13
12039,,,,1955-09-14
12040,,,,1955-09-15
12041,,,,1955-09-21
12042,,,,1955-01-01
12043,,,,1955-09-24
12044,,,,1955-09-24
12045,,,,1955-09-24
12046,,,,1955-09-24
12047,,,,1955-09-24
12048,,,,1955-09-26
12049,,,,1955-09-24
12050,,,,1955-09-24
12051,,,,1955-09-29
12052,,,,1955-09-01
12053,,,,1955-01-01
12054,,,,1955-11-12
12055,,,,1955-11-02
12056,,,,1955-11-02
12057,,,,1955-10-06
12058,,,,1955-10-13
12059,,,,1955-10-17
12060,,,,1955-10-25
12061,,,,1955-11-24
12062,,,,1955-11-07
12063,,,,1955-11-21
12064,,,,1955-11-21
12065,,,,1955-11-21
12066,,,,1955-10-22
12067,,,,1955-11-27
12068,,,,1955-11-25
12069,,,,1955-11-27
12070,,,,1955-11-29
12071,,,,1955-11-29
12072,,,,1955-11-29
12073,,,,1955-11-29
12074,,,,1955-12-01
12075,,,,1955-12-03
12076,,,,1955-12-07
12077,,,,1955-12-07
12078,,,,1955-12-08
12079,,,,1955-12-13
12080,,,,1955-12-17
12081,,,,1955-12-18
12082,,,,1955-05-23
12083,,,,1955-01-01
12084,,,,1955-01-09
12085,,,,1955-01-01
12086,,,,1955-12-01
12087,,,,1955-01-01
12088,,,,1955-01-01
12089,,,,1956-01-01
12090,,,,1955-01-01
12091,,,,1955-01-04
12092,,,,1955-02-10
12093,,,,1955-02-03
12094,,,,1955-02-14
12095,,,,1955-02-19
12096,,,,1955-02-23
12097,,,,1955-03-27
12098,,,,1955-04-12
12099,,,,1955-04-20
12100,,,,1955-04-27
12101,,,,1955-04-25
12102,,,,1955-05-02
12103,,,,1955-04-06
12104,,,,1955-05-12
12105,,,,1955-05-13
12106,,,,1955-05-26
12107,,,,1955-11-26
12108,,,,1955-11-05
12109,,,,1955-12-19
12110,,,,1955-12-19
12111,,,,1955-12-21
12112,,,,1955-12-21
12113,,,,1955-12-23
12114,,,,1955-12-25
12115,,,,1955-12-25
12116,,,,1955-12-25
12117,,,,1955-12-27
12118,,,,1955-12-28
12119,,,,1955-12-29
12120,,,,1955-12-29
12121,,,,1955-01-01
12122,,,,1955-12-28
12123,,,,1955-09-22
12124,,,,1945-08-05
12125,,,,1945-08-02
12126,,,,1945-09-06
12127,,,,1945-09-07
12128,,,,1945-09-05
12129,,,,1945-09-03
12130,,,,1945-09-02
12131,,,,1945-10-17
12132,,,,1945-10-16
12133,,,,1945-10-04
12134,,,,1945-01-01
12135,,,,1945-11-06
12136,,,,1945-11-21
12137,,,,1945-12-11
12138,,,,1945-12-01
12139,,,,1945-12-20
12140,,,,1945-10-27
12141,,,,1945-10-27
12142,,,,1945-12-07
12143,,,,1945-12-07
12144,,,,1945-12-07
12145,,,,1945-12-07
12146,,,,1945-12-14
12147,,,,1945-12-30
12148,,,,1945-12-26
12149,,,,1945-12-27
12150,,,,1945-12-28
12151,,,,1945-12-29
12152,,,,1945-12-25
12153,,,,1945-12-31
12154,,,,1944-08-03
12155,,,,1944-08-03
12156,,,,1944-08-01
12157,,,,1944-01-01
12158,,,,1944-03-10
12159,,,,1944-01-01
12160,,,,1944-01-01
12161,,,,1944-02-12
12162,,,,1944-02-13
12163,,,,1944-02-14
12164,,,,1944-02-22
12165,,,,1944-02-15
12166,,,,1944-02-15
12167,,,,1944-02-15
12168,,,,1944-02-15
12169,,,,1944-02-22
12170,,,,1944-03-27
12171,,,,1944-03-17
12172,,,,1944-03-29
12173,,,,1944-09-28
12174,,,,1944-04-27
12175,,,,1944-04-29
12176,,,,1944-04-27
12177,,,,1944-04-26
12178,,,,1944-04-24
12179,,,,1944-04-14
12180,,,,1944-04-06
12181,,,,1944-04-05
12182,,,,1944-04-01
12183,,,,1944-05-29
12184,,,,1944-05-01
12185,,,,1944-06-21
12186,,,,1944-06-12
12187,,,,1944-06-01
12188,,,,1944-06-01
12189,,,,1944-06-01
12190,,,,1944-07-12
12191,,,,1944-07-05
12192,,,,1944-07-27
12193,,,,1944-08-27
12194,,,,1944-08-11
12195,,,,1944-08-06
12196,,,,1944-09-20
12197,,,,1944-09-11
12198,,,,1944-09-03
12199,,,,1944-11-23
12200,,,,1944-11-23
12201,,,,1944-11-23
12202,,,,1944-11-06
12203,,,,1944-11-28
12204,,,,1944-11-11
12205,,,,1944-12-09
12206,,,,1944-12-01
12207,,,,1944-12-31
12208,,,,1944-12-31
12209,,,,1944-11-11
12210,,,,1945-08-27
12211,,,,1945-12-01
12212,,,,1945-08-30
12213,,,,1945-05-08
12214,,,,1945-01-01
12215,,,,1945-03-15
12216,,,,1945-03-15
12217,,,,1945-03-16
12218,,,,1945-03-09
12219,,,,1945-03-03
12220,,,,1945-04-05
12221,,,,1945-04-05
12222,,,,1945-05-09
12223,,,,1945-05-21
12224,,,,1945-05-13
12225,,,,1945-06-28
12226,,,,1945-06-16
12227,,,,1945-06-16
12228,,,,1945-06-18
12229,,,,1945-07-01
12230,,,,1945-07-15
12231,,,,1945-07-30
12232,,,,1945-07-24
12233,,,,1945-01-01
12234,,,,1945-07-04
12235,,,,1945-08-03
12236,,,,1945-08-29
12237,,,,1945-08-22
12238,,,,1945-01-01
12239,,,,1946-01-01
12240,,,,1946-01-01
12241,,,,1946-01-01
12242,,,,1946-01-01
12243,,,,1946-01-02
12244,,,,1946-01-31
12245,,,,1946-01-31
12246,,,,1946-01-01
12247,,,,1946-01-01
12248,,,,1946-01-01
12249,,,,1946-01-03
12250,,,,1946-01-05
12251,,,,1946-01-05
12252,,,,1946-01-24
12253,,,,1946-01-29
12254,,,,1946-01-26
12255,,,,1946-02-01
12256,,,,1946-02-06
12257,,,,1946-02-11
12258,,,,1946-02-27
12259,,,,1946-02-22
12260,,,,1946-02-21
12261,,,,1946-01-01
12262,,,,1946-02-01
12263,,,,1946-02-13
12264,,,,1946-02-17
12265,,,,1946-03-18
12266,,,,1946-03-15
12267,,,,1946-03-15
12268,,,,1946-03-16
12269,,,,1946-01-01
12270,,,,1946-03-02
12271,,,,1946-01-01
12272,,,,1946-03-01
12273,,,,1946-03-01
12274,,,,1946-01-01
12275,,,,1946-01-01
12276,,,,1946-03-14
12277,,,,1946-03-01
12278,,,,1946-03-20
12279,,,,1946-03-23
12280,,,,1946-04-01
12281,,,,1946-04-13
12282,,,,1946-04-19
12283,,,,1946-04-18
12284,,,,1946-05-29
12285,,,,1946-05-27
12286,,,,1946-05-07
12287,,,,1946-06-04
12288,,,,1946-06-11
12289,,,,1946-06-11
12290,,,,1946-06-11
12291,,,,1946-06-27
12292,,,,1946-07-01
12293,,,,1946-07-29
12294,,,,1946-08-14
12295,,,,1946-09-27
12296,,,,1946-10-01
12297,,,,1946-10-25
12298,,,,1946-10-27
12299,,,,1946-10-27
12300,,,,1946-10-28
12301,,,,1946-10-28
12302,,,,1946-10-29
12303,,,,1946-10-30
12304,,,,1946-10-26
12305,,,,1946-10-24
12306,,,,1946-11-30
12307,,,,1946-12-26
12308,,,,1946-12-23
12309,,,,1946-12-25
12310,,,,1946-12-27
12311,,,,1946-12-31
12312,,,,1947-01-01
12313,,,,1946-01-01
12314,,,,1947-01-01
12315,,,,1947-01-12
12316,,,,1947-01-21
12317,,,,1947-01-03
12318,,,,1947-02-03
12319,,,,1947-02-06
12320,,,,1947-02-12
12321,,,,1947-02-27
12322,,,,1947-02-06
12323,,,,1947-03-14
12324,,,,1947-03-15
12325,,,,1947-03-14
12326,,,,1947-03-21
12327,,,,1947-04-27
12328,,,,1947-04-23
12329,,,,1947-04-24
12330,,,,1947-04-27
12331,,,,1947-04-27
12332,,,,1947-04-28
12333,,,,1947-05-01
12334,,,,1947-05-13
12335,,,,1947-05-19
12336,,,,1947-05-01
12337,,,,1947-05-07
12338,,,,1947-05-01
12339,,,,1947-06-01
12340,,,,1947-07-24
12341,,,,1947-07-04
12342,,,,1947-07-02
12343,,,,1947-08-19
12344,,,,1947-10-24
12345,,,,1947-10-25
12346,,,,1947-10-24
12347,,,,1947-11-27
12348,,,,1947-01-01
12349,,,,1947-12-08
12350,,,,1947-12-01
12351,,,,1947-12-28
12352,,,,1947-12-13
12353,,,,1947-12-29
12354,,,,1947-12-25
12355,,,,1947-12-06
12356,,,,1946-01-01
12357,,,,1948-08-27
12358,,,,1948-08-28
12359,,,,1943-08-18
12360,,,,1948-09-27
12361,,,,1948-10-14
12362,,,,1948-01-01
12363,,,,1948-12-01
12364,,,,1948-12-17
12365,,,,1948-12-15
12366,,,,1948-12-03
12367,,,,1949-01-01
12368,,,,1949-01-04
12369,,,,1949-01-08
12370,,,,1949-01-27
12371,,,,1949-01-07
12372,,,,1949-02-01
12373,,,,1949-02-10
12374,,,,1949-02-17
12375,,,,1949-02-18
12376,,,,1949-03-22
12377,,,,1949-03-02
12378,,,,1949-03-17
12379,,,,1949-03-27
12380,,,,1949-03-19
12381,,,,1949-04-21
12382,,,,1949-04-28
12383,,,,1949-04-03
12384,,,,1949-04-12
12385,,,,1949-04-17
12386,,,,1949-04-17
12387,,,,1949-05-12
12388,,,,1949-05-24
12389,,,,1949-06-21
12390,,,,1949-06-21
12391,,,,1949-07-01
12392,,,,1949-07-27
12393,,,,1949-07-25
12394,,,,1949-07-29
12395,,,,1949-07-11
12396,,,,1949-07-06
12397,,,,1949-07-12
12398,,,,1949-07-01
12399,,,,1949-08-24
12400,,,,1949-08-21
12401,,,,1949-08-26
12402,,,,1949-08-21
12403,,,,1949-08-11
12404,,,,1949-08-04
12405,,,,1949-08-01
12406,,,,1949-09-08
12407,,,,1949-09-27
12408,,,,1949-09-16
12409,,,,1949-09-21
12410,,,,1949-09-25
12411,,,,1949-09-26
12412,,,,1949-09-28
12413,,,,1949-09-29
12414,,,,1949-09-30
12415,,,,1949-09-30
12416,,,,1949-01-01
12417,,,,1949-09-12
12418,,,,1949-10-08
12419,,,,1949-10-15
12420,,,,1949-10-15
12421,,,,1949-10-29
12422,,,,1949-10-09
12423,,,,1949-11-05
12424,,,,1949-11-13
12425,,,,1949-11-17
12426,,,,1949-12-31
12427,,,,1949-12-25
12428,,,,1949-12-19
12429,,,,1949-12-27
12430,,,,1949-12-27
12431,,,,1949-12-28
12432,,,,1949-12-28
12433,,,,1949-12-29
12434,,,,1949-12-29
12435,,,,1949-12-30
12436,,,,1949-12-30
12437,,,,1949-12-31
12438,,,,1949-12-31
12439,,,,1949-12-25
12440,,,,1949-12-24
12441,,,,1949-12-23
12442,,,,1949-12-23
12443,,,,1949-12-18
12444,,,,1949-12-10
12445,,,,1949-01-08
12446,,,,1949-01-01
12447,,,,1949-09-01
12448,,,,1949-05-12
12449,,,,1949-01-01
12450,,,,1948-01-21
12451,,,,1948-01-21
12452,,,,1948-01-26
12453,,,,1948-01-28
12454,,,,1948-02-27
12455,,,,1948-02-25
12456,,,,1948-02-01
12457,,,,1948-02-02
12458,,,,1948-02-07
12459,,,,1948-02-14
12460,,,,1948-02-15
12461,,,,1948-02-23
12462,,,,1948-02-25
12463,,,,1948-02-28
12464,,,,1948-02-29
12465,,,,1948-02-29
12466,,,,1948-03-18
12467,,,,1948-03-02
12468,,,,1948-03-02
12469,,,,1948-03-02
12470,,,,1948-01-01
12471,,,,1948-01-01
12472,,,,1948-01-15
12473,,,,1948-03-05
12474,,,,1948-03-08
12475,,,,1948-03-08
12476,,,,1948-03-08
12477,,,,1948-03-09
12478,,,,1948-03-16
12479,,,,1948-03-14
12480,,,,1948-04-29
12481,,,,1948-04-06
12482,,,,1948-04-06
12483,,,,1948-04-10
12484,,,,1948-04-27
12485,,,,1948-06-06
12486,,,,1948-06-30
12487,,,,1948-01-01
12488,,,,1948-06-15
12489,,,,1948-06-06
12490,,,,1948-06-06
12491,,,,1948-06-08
12492,,,,1948-06-24
12493,,,,1948-06-24
12494,,,,1948-06-25
12495,,,,1948-06-26
12496,,,,1948-06-26
12497,,,,1948-07-01
12498,,,,1948-08-09
12499,,,,1948-08-10
12500,,,,1948-08-14
12501,,,,1948-08-14
12502,,,,1948-08-15
12503,,,,1948-08-21
12504,,,,1948-08-28
12505,,,,1948-08-28
12506,,,,1948-08-26
12507,,,,1946-01-01
12508,,,,1943-01-01
12509,,,,1943-01-01
12510,,,,1946-01-01
12511,,,,1945-11-01
12512,,,,1943-01-01
12513,,,,1943-01-01
12514,,,,1943-01-01
12515,,,,1943-01-01
12516,,,,1943-01-01
12517,,,,1945-01-01
12518,,,,1946-01-01
12519,,,,1943-01-01
12520,,,,1943-01-01
12521,,,,1943-01-01
12522,,,,1943-01-01
12523,,,,1943-01-01
12524,,,,1943-01-01
12525,,,,1943-01-01
12526,,,,1943-01-01
12527,,,,1943-01-01
12528,,,,1943-01-01
12529,,,,1943-02-10
12530,,,,1943-02-06
12531,,,,1943-02-02
12532,,,,1943-02-01
12533,,,,1943-02-02
12534,,,,1943-02-18
12535,,,,1943-01-01
12536,,,,1943-07-08
12537,,,,1943-04-22
12538,,,,1943-01-01
12539,,,,1943-01-01
12540,,,,1943-01-01
12541,,,,1943-01-01
12542,,,,1943-01-20
12543,,,,1943-01-01
12544,,,,1943-03-02
12545,,,,1943-08-25
12546,,,,1943-08-11
12547,,,,1943-01-01
12548,,,,1943-01-01
12549,,,,1946-03-18
12550,,,,1943-01-01
12551,,,,1943-01-01
12552,,,,1943-01-01
12553,,,,1943-01-01
12554,,,,1943-05-17
12555,,,,1943-05-03
12556,,,,1943-05-03
12557,,,,1943-05-03
12558,,,,1943-05-03
12559,,,,1943-11-01
12560,,,,1943-05-18
12561,,,,1943-07-02
12562,,,,1943-07-15
12563,,,,1943-07-15
12564,,,,1943-07-22
12565,,,,1943-08-18
12566,,,,1943-08-24
12567,,,,1943-08-26
12568,,,,1943-08-27
12569,,,,1943-09-17
12570,,,,1943-10-02
12571,,,,1943-10-10
12572,,,,1943-11-15
12573,,,,1943-11-17
12574,,,,1943-11-18
12575,,,,1943-06-02
12576,,,,1943-12-21
12577,,,,1943-12-07
12578,,,,1943-12-07
12579,,,,1943-12-10
12580,,,,1943-12-10
12581,,,,1943-12-21
12582,,,,1943-12-30
12583,,,,1943-12-20
12584,,,,1943-12-03
12585,,,,1943-11-25
12586,,,,1943-12-25
12587,,,,1943-12-25
12588,,,,1943-01-01
12589,,,,1943-01-01
12590,,,,1943-01-01
12591,,,,1943-01-01
12592,,,,1943-01-01
12593,,,,1943-01-01
12594,,,,1943-01-01
12595,,,,1943-01-01
12596,,,,1943-01-01
12597,,,,1943-01-01
12598,,,,1943-01-01
12599,,,,1943-01-01
12600,,,,1939-05-03
12601,,,,1939-05-06
12602,,,,1939-04-19
12603,,,,1939-05-06
12604,,,,1939-05-06
12605,,,,1939-05-08
12606,,,,1939-05-10
12607,,,,1939-05-12
12608,,,,1939-05-11
12609,,,,1939-05-11
12610,,,,1939-05-25
12611,,,,1939-05-26
12612,,,,1939-05-19
12613,,,,1939-05-22
12614,,,,1939-05-22
12615,,,,1939-05-12
12616,,,,1939-05-29
12617,,,,1939-05-25
12618,,,,1939-05-20
12619,,,,1939-05-28
12620,,,,1939-05-20
12621,,,,1939-05-24
12622,,,,1939-05-16
12623,,,,1939-05-26
12624,,,,1939-05-12
12625,,,,1939-05-12
12626,,,,1939-05-16
12627,,,,1939-05-18
12628,,,,1939-05-18
12629,,,,1939-05-22
12630,,,,1939-05-24
12631,,,,1939-05-25
12632,,,,1939-05-25
12633,,,,1939-06-01
12634,,,,1939-06-01
12635,,,,1939-06-01
12636,,,,1939-06-13
12637,,,,1939-06-12
12638,,,,1939-06-13
12639,,,,1939-06-18
12640,,,,1939-06-15
12641,,,,1939-06-16
12642,,,,1939-06-18
12643,,,,1939-06-03
12644,,,,1939-06-06
12645,,,,1939-06-21
12646,,,,1939-06-16
12647,,,,1939-06-29
12648,,,,1939-06-21
12649,,,,1939-06-20
12650,,,,1939-06-30
12651,,,,1939-07-02
12652,,,,1939-07-03
12653,,,,1939-07-15
12654,,,,1939-07-03
12655,,,,1939-07-26
12656,,,,1939-07-26
12657,,,,1939-07-30
12658,,,,1939-07-31
12659,,,,1939-07-31
12660,,,,1939-07-19
12661,,,,1939-08-16
12662,,,,1939-08-27
12663,,,,1939-08-19
12664,,,,1939-08-30
12665,,,,1939-08-19
12666,,,,1939-08-31
12667,,,,1939-08-23
12668,,,,1939-08-25
12669,,,,1939-08-09
12670,,,,1939-08-11
12671,,,,1939-01-01
12672,,,,1939-10-13
12673,,,,1939-10-06
12674,,,,1939-10-27
12675,,,,1939-10-06
12676,,,,1939-09-16
12677,,,,1939-09-17
12678,,,,1939-09-13
12679,,,,1939-09-28
12680,,,,1939-09-29
12681,,,,1939-09-05
12682,,,,1939-09-15
12683,,,,1939-09-27
